Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,
пиво,616,beer,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,пива,Gen.Sing,Вчера после работы я выпил кружку пива.,I drank a mug of beer after work yesterday.,_,еда,,
пиво,617,beer,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,пивом,Ins.Sing,Я буду курицу с пивом.,I'll take chicken and beer.,_,еда,,
легкий,618,light,A,A1,МН,1,легче,Comparative,"Мой рюкзак легче, чем твой.",My backpack is lighter than yours.,_,мера,,
легкий,619,light,A,A1,МН,2,легко,Adverb,Вася легко с этим справится.,Vasya will manage this easily.,_,мера,,
легкий,620,light,A,A1,МН,3,лёгкой,Ins.Fem.Sing,В сентябре я ношу джинсы с лёгкой курткой.,In September I wear jeans and light jacket.,_,мера,,
сильный,621,strong,A,A1,"MiP, МН",1,сильная,Nom.Fem.Sing,Лена очень сильная и способная студентка.,Lena is a very strong and gifted student.,_,"люди, описание, мера",,
сильный,622,strong,A,A1,"MiP, МН",2,сильнее,Comparative,"Петя сильнее меня, он ходит в тренажёрный зал.","Petya is stronger than me, he goes to the gym.",_,"люди, описание, мера",,
сильный,623,strong,A,A1,"MiP, МН",3,сильный,Nom.Masc.Sing,"На улице сильный ветер, будь осторожнее!","There's a strong wind outside, be careful!",_,"люди, описание, мера",,
кухня,624,kitchen,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,кухне,Loc.Sing,Моя мама любит готовить и проводит много времени на кухне.,My Mom loves cooking and spends a lot of time in the kitchen.,_,"еда, жильё",,
кухня,625,kitchen,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,кухню,Acc.Sing,"Пойдём на кухню, я приготовил ужин.","Let's go to the kitchen, I've made supper.",_,"еда, жильё",,
кухня,626,kitchen,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,кухни,Gen.Sing,"Принести тарелки с кухни, пожалуйста.","Bring the plates from the kitchen, please.",_,"еда, жильё",,
тетя,627,aunt,N.Fem.Anim,A1,"LM, МН",1,тётя,Nom.Sing,Твоя тётя приезжала в гости в ноябре?,Did your aunt visit you in November?,_,люди,,
тетя,628,aunt,N.Fem.Anim,A1,"LM, МН",2,тёти,Gen.Sing,У моей тёти есть дача.,My aunt has a summer cottage.,_,люди,,
тетя,629,aunt,N.Fem.Anim,A1,"LM, МН",3,тётю,Acc.Sing,Я встречу твою тётю с поезда.,I'll meet your aunt at the train.,_,люди,,
март,630,march,N.Masc.Inan,A1,"MiP, LM, МН",1,марта,Gen.Sing,Всемирный женский день отмечают восьмого марта.,International Women's Day is celebrated on the 8th of March.,_,время,,
март,631,march,N.Masc.Inan,A1,"MiP, LM, МН",2,марте,Loc.Sing,Я люблю погоду в марте.,I love the weather in March.,_,время,,
кошка,632,cat,N.Fem.Anim,A1,"Golosa, MiP, МН",1,кошки,Gen.Sing,У нашей кошки большие зелёные глаза.,Our cat has big green eyes.,_,животные/растения,,
кошка,633,cat,N.Fem.Anim,A1,"Golosa, MiP, МН",2,кошка,Nom.Sing,"Смотри, какая красивая кошка!","Look, what a pretty cat!",_,животные/растения,,
кошка,634,cat,N.Fem.Anim,A1,"Golosa, MiP, МН",3,кошек,Gen.Plur,Купи корм для кошек по дороге домой.,Buy cat food on the way home.,_,животные/растения,,
ученый,635,scientist,N.Masc.Anim,A1,МН,1,учёные,Nom.Plur,Учёные пишут научные работы и выступают на конференциях.,Scientists write scientific papers and speak at conferences.,_,"люди, учёба/работа",,
ученый,636,scientist,N.Masc.Anim,A1,МН,2,учёных,Gen.Plur,Вчера на конференции я узнал о проектах российских учёных.,Yesterday at the conference I learned about projects by Russian scientists.,_,"люди, учёба/работа",,
ученый,637,scientist,N.Masc.Anim,A1,МН,3,учёный,Nom.Sing,Ричард Докинз – мой любимый учёный.,Richard Dawkins is my favorite scientist.,_,"люди, учёба/работа",,
площадь,638,square,N.Fem.Inan,A1,"MiP, LM, МН",1,площади,Loc.Sing,Недавно я побывал на Красной площади.,I've been to the Red Square recently.,_,"путешествие, жильё",,
площадь,639,square,N.Fem.Inan,A1,"MiP, LM, МН",2,площадь,Nom.Sing,Красная площадь очень красивая.,The Red Square is very beautiful.,_,"путешествие, жильё",,
площадь,640,square,N.Fem.Inan,A1,"MiP, LM, МН",3,площадью,Ins.Sing,Мне нужна квартира площадью минимум шестьдесят квадратных метров.,I need an apartment with at least 60 square meters.,_,"путешествие, жильё",,
студент,641,student,N.Masc.Anim,A1,МН,1,студентов,Gen.Plur,В МГУ учится много талантливых студентов.,Many talented students study at Moscow State University.,_,"люди, учёба/работа",,
студент,642,student,N.Masc.Anim,A1,МН,2,студенты,Nom.Plur,Студенты покупают билеты на поезд со скидкой.,Students buy train tickets for a reduced price.,_,"люди, учёба/работа",,
студент,643,student,N.Masc.Anim,A1,МН,3,студент,Nom.Sing,Мой брат – студент.,My brother is a student.,_,"люди, учёба/работа",,
дочь,644,daughter,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",1,дочь,Nom.Sing,Дочь Лены поёт в хоре.,Lena's daughter sings in a choir.,_,люди,,
дочь,645,daughter,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",2,дочери,Gen.Sing,У моей старшей дочери родился сын.,My eldest daughter gave birth to a son.,_,люди,,
дочь,646,daughter,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",3,дочерью,Ins.Sing,Вечером я иду в театр с Романом и его дочерью.,I will go to the theatre with Roman and his daughter this evening.,_,люди,,
рот,647,mouth,N.Masc.Inan,A1,"MiP, МН",1,рот,Acc.Sing,Саша открыла рот от удивления.,Sasha opened her mouth in surprise.,_,люди,,
рот,648,mouth,N.Masc.Inan,A1,"MiP, МН",2,рта,Gen.Sing,Они спорили с пеной у рта.,They argued while foaming at the mouth.,_,люди,,
рот,649,mouth,N.Masc.Inan,A1,"MiP, МН",3,ртом,Ins.Sing,Не говори с набитым ртом!,Don't talk with your mouth full!,_,люди,,
температура,650,temperature,N.Fem.Inan,A1,"MiP, LM, МН",1,температура,Nom.Sing,У меня поднялась температура.,I've got a fever.,_,здоровье,,
температура,651,temperature,N.Fem.Inan,A1,"MiP, LM, МН",2,температуры,Gen.Sing,Вчера Нина не пошла на работу из-за высокой температуры.,Nina didn't go to work yesterday because she had a fever.,_,здоровье,,
температура,652,temperature,N.Fem.Inan,A1,"MiP, LM, МН",3,температуру,Acc.Sing,"Кажется, ты заболел. Померь температуру.",It seems that you're sick. Take your temperature.,_,здоровье,,
весна,653,spring,N.Fem.Inan,A1,"LM, МН, Поехали",1,весной,Ins.Sing,Весной на улице очень тепло.,It's very warm outside in spring.,_,время,,
весна,654,spring,N.Fem.Inan,A1,"LM, МН, Поехали",2,весны,Gen.Sing,Снег начинает таять в начале весны.,The snow starts melting in the beginning of spring.,_,время,,
весна,655,spring,N.Fem.Inan,A1,"LM, МН, Поехали",3,весна,Nom.Sing,"Ура, через две недели уже весна!","Hurray, spring is coming in 2 weeks!",_,время,,
хозяин,656,owner,N.Masc.Anim,A1,"MiP, МН",1,хозяин,Nom.Sing,Хозяин этой квартиры разрешает приводить гостей.,The owner of this apartment allows you to bring guests.,_,люди,,
хозяин,657,owner,N.Masc.Anim,A1,"MiP, МН",2,хозяева,Nom.Plur,Хозева квартиры не разрешают в ней курить.,The owners of this apartment don't allow smoking here.,_,люди,,
хозяин,658,owner,N.Masc.Anim,A1,"MiP, МН",3,хозяина,Gen.Sing,"У этой собаки нет хозяина, она бродячая.","This dog don't have an owner, she is a stray.",_,люди,,
вагон,659,car (of a train),N.Masc.Inan,A1,"MiP, LM, МН, Поехали",1,вагона,Gen.Sing,Максим будет ждать нас у вагона поезда.,Maxim will wait for us by the car of the train.,_,путешествие,,
вагон,660,car (of a train),N.Masc.Inan,A1,"MiP, LM, МН, Поехали",2,вагоне,Loc.Sing,Я еду в третьем вагоне с конца.,I'm traveling in the third car from the end.,_,путешествие,,
вагон,661,car (of a train),N.Masc.Inan,A1,"MiP, LM, МН, Поехали",3,вагонов,Gen.Plur,В этом поезде двенадцать вагонов.,This train has 12 cars.,_,путешествие,,
подумать,662,think,V,A1,"Golosa, MiP, LM, МН",1,подумал,Perf.Masc.Sing.Past,Я увидел цветы и подумал о лете.,I saw the flowers and thought about summer.,_,внутренний мир,,
подумать,663,think,V,A1,"Golosa, MiP, LM, МН",2,подумать,Perf.Inf,Мне нужно подумать об этом.,I need to think about it.,_,внутренний мир,,
подумать,664,think,V,A1,"Golosa, MiP, LM, МН",3,подумала,Perf.Fem.Sing.Past,Я подумала об отпуске и сразу захотела на море.,I thought about my vacation and wanted to go to the sea at once.,_,внутренний мир,,
красный,665,red,A,A1,"Golosa, MiP, LM, МН",1,красным,Ins.Masc.Sing,Миша закончил университет с красным дипломом.,Misha has graduated from the university with honors.,_,описание,,
красный,666,red,A,A1,"Golosa, MiP, LM, МН",2,красными,Ins.Plur,На сцену вышли девочки с красными бантами.,Girls with red bows came on stage.,_,описание,,
красный,667,red,A,A1,"Golosa, MiP, LM, МН",3,красные,Nom.Plur,"Мне кажется, красные розы – это очень красиво.",I think that red roses are very beautiful.,_,описание,,
великий,668,great,A,A1,МН,1,великий,Nom.Masc.Sing,Александр Пушкин – великий поэт.,Alexander Pushkin is a great poet.,_,"мера, описание",,
великий,669,great,A,A1,МН,2,великая,Nom.Fem.Sing,Мэрилин Монро – великая актриса.,Marilyn Monroe is a great actress.,_,"мера, описание", The target form великая is not in the sentence, 
великий,670,great,A,A1,МН,3,великого,Gen.Masc.Sing,Саша переехал в Москву из Великого Новгорода.,Sasha has moved to Moscow from Veliky Novgorod.,_,"мера, описание",,
поехать,671,ride,V,A1,"Golosa, MiP, LM, МН",1,поехали,Perf.Plur.Past,"Мы поехали в гости к бабушке, будем поздно.","We went to visit grandma, we will be late.",_,путешествие,"поехали is about now, something with a current result. Мы поехали в гости, будем поздно.",
поехать,672,ride,V,A1,"Golosa, MiP, LM, МН",2,поехал,Perf.Masc.Sing.Past,Гриша поехал в Москву и поступил в университет.,Grisha went to Moscow and got into the university.,_,путешествие,,
поехать,673,ride,V,A1,"Golosa, MiP, LM, МН",3,поехать,Perf.Inf,Я очень хочу поехать в Германию!,I really want to visit Germany!,_,путешествие,,
компьютер,674,computer,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,компьютера,Gen.Sing,Я не могу работать без компьютера и интернета.,I can't work without a computer and an Internet connection.,_,"свободное время, учёба/работа",,
компьютер,675,computer,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,компьютеров,Gen.Plur,В нашем офисе много новых компьютеров.,We have a lot of new computers in our office.,_,"свободное время, учёба/работа",,
компьютер,676,computer,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,компьютере,Loc.Sing,Недавно мой дедушка научился работать на компьютере.,My grandfather has recently learned to use a computer.,_,"свободное время, учёба/работа",,
апрель,677,April,N.Masc.Inan,A1,"MiP, LM, МН, Поехали",1,апреля,Gen.Sing,Двенадцатого апреля 1961 года Юрий Гагарин полетел в космос.,"On April 12, 1961, Yuri Gagarin flew into outer space.",_,время,,
апрель,678,April,N.Masc.Inan,A1,"MiP, LM, МН, Поехали",2,апреле,Loc.Sing,У Кати день рождения в апреле.,Katya's birthday is in April.,_,время,,
папа,679,dad,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,папа,Nom.Sing,Папа сегодня вернётся с работы в пять часов.,Dad will come home from work at five o’clock.,_,"люди, общение",,
папа,680,dad,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,папой,Ins.Sing,Мама с папой познакомились в университете.,Mom and dad first met at the university.,_,"люди, общение",,
папа,681,dad,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,папу,Acc.Sing,"Позови папу, обед готов.","Call dad, dinner is ready.",_,"люди, общение",,
ресторан,682,restaurant,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,ресторане,Loc.Sing,В этом ресторане очень вкусная пицца.,The pizza in this restaurant is very tasty.,_,"свободное время, еда",,
ресторан,683,restaurant,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,ресторана,Gen.Sing,Я закажу еду из ресторана на дом.,I'll order take-out food from the restaurant.,_,"свободное время, еда",Too complicated!,
ресторан,684,restaurant,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,ресторан,Acc.Sing,Пойдём вечером в ресторан?,Shall we go to a restaurant this evening?,_,"свободное время, еда",Too complicated!,
хлеб,685,bread,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,хлеба,Gen.Sing,"Когда пойдёшь в магазин, купи хлеба.",Buy some bread when you go to the store.,_,"еда, магазин",,
хлеб,686,bread,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,хлеб,Acc.Sing,"Дай, пожалуйста, хлеб.","Pass the bread, please.",_,"еда, магазин",,
хлеб,687,bread,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,хлебом,Ins.Sing,Я ем суп с белым хлебом.,I eat soup with white bread.,_,"еда, магазин",,
национальный,688,national,A,A1,"MiP, МН",1,национального,Gen.Neut.Sing,Игроки национального хоккейного клуба получили премию.,The national hockey club players got a prize.,_,политика,,
национальный,689,national,A,A1,"MiP, МН",2,национальной,Gen.Fem.Sing,Марк - игрок национальной сборной.,Mark is a player on the national team.,_,политика,Use of instrumental too hard here,
национальный,690,national,A,A1,"MiP, МН",3,национальных,Gen.Plur,Это – проблема национальных меньшинств.,This is a problem for ethnic minorities.,_,политика,,
фотография,691,photograph,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,фотографию,Acc.Sing,Он показал мне свою фотографию.,He showed me his photograph.,_,"свободное время, учёба/работа, путешествие",,
фотография,692,photograph,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,фотографии,Acc.Plur,Я отправлю тебе фотографии из Италии.,I'll send you my photographs from Italy.,_,"свободное время, учёба/работа, путешествие",,
фотография,693,photograph,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фотография,Nom.Sing,Эта фотография очень удачная!,This photo is very good!,_,"свободное время, учёба/работа, путешествие",,
техника,694,equipment,N.Fem.Inan,A1,"Golosa, MiP, МН",1,техники,Gen.Sing,Это очень хороший магазин техники.,This is a very good electronics store.,_,"жильё, учёба/работа, магазин",too complex,
техника,695,equipment,N.Fem.Inan,A1,"Golosa, MiP, МН",2,техника,Nom.Sing,У меня всё время ломается техника.,My gadgets always break.,_,"жильё, учёба/работа, магазин",,
техника,696,equipment,N.Fem.Inan,A1,"Golosa, MiP, МН",3,техникой,Ins.Sing,"У меня проблемы с техникой, позвони мастеру.","I have some problems with the equipment, call the professional, please.",_,"жильё, учёба/работа, магазин",,
согласный,697,agree,A,A1,МН,1,согласен,Masc.Sing,Я с тобой согласен.,I agree with you.,_,"общение, внутренний мир",,
согласный,698,agree,A,A1,МН,2,согласны,Plur,Все с этим согласны?,Does everyone agree with that?,_,"общение, внутренний мир",,
согласный,699,agree,A,A1,МН,3,согласна,Fem.Sing,Я с этим полностью согласна.,I agree with that completely.,_,"общение, внутренний мир",,
одежда,700,clothing,N.Fem.Inan,A1,"Golosa, MiP, МН",1,одежды,Gen.Sing,У Маши так много красивой одежды!,Masha has so many beautiful clothes!,_,магазин,,
одежда,701,clothing,N.Fem.Inan,A1,"Golosa, MiP, МН",2,одежду,Acc.Sing,Я постираю одежду в выходные.,I'll wash my clothes on the weekend.,_,магазин,,
одежда,702,clothing,N.Fem.Inan,A1,"Golosa, MiP, МН",3,одежда,Nom.Sing,Эта одежда очень удобная.,This clothing is very comfortable.,_,магазин,,
рождение,703,birth,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,рождения,Gen.Sing,У Саши завтра день рождения.,Sasha has his birthday tomorrow.,_,"люди, время",,
рождение,704,birth,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,рождении,Loc.Sing,Где моё свидетельство о рождении?,Where is my birth certificate?,_,"люди, время",,
рождение,705,birth,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,рождение,Nom.Sing,Рождение ребёнка – это серьёзный шаг для семьи.,The birth of a child is an important step for a family.,_,"люди, время",,
красивый,706,beautiful,A,A1,"Golosa, MiP, LM, МН",1,красивая,Nom.Fem.Sing,У Коли очень красивая девушка.,Kolya's girlfriend is very beautiful.,_,описание,,
красивый,707,beautiful,A,A1,"Golosa, MiP, LM, МН",2,красивые,Nom.Plur,Эти цветы очень красивые.,These flowers are very beautiful.,_,описание,,
красивый,708,beautiful,A,A1,"Golosa, MiP, LM, МН",3,красивый,Nom.Masc.Sing,"Это красивый рисунок, молодец.","This is a beautiful picture, well done.",_,описание,,
учреждение,709,institution,N.Neut.Inan,A1,"Golosa, MiP, МН",1,учреждений,Gen.Plur,В Москве много образовательных учреждений.,There are a lot of educational institutions in Moscow.,_,учёба/работа,,
учреждение,710,institution,N.Neut.Inan,A1,"Golosa, MiP, МН",2,учреждения,Gen.Sing,Мой отец – работник медицинского учреждения.,My father works in a health care institution.,_,учёба/работа,,
учреждение,711,institution,N.Neut.Inan,A1,"Golosa, MiP, МН",3,учреждение,Nom.Sing,Детский сад – это дошкольное образовательное учреждение.,Daycare is a pre-school institution.,_,учёба/работа,,
урок,712,lesson,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,уроки,Acc.Plur,Ты уже сделал уроки на завтра?,Have you done your homework for tomorrow?,_,учёба/работа,,
урок,713,lesson,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,урок,Nom.Sing,"Наш урок скоро начнётся, надо спешить.","Our class is about to start, hurry up.",_,учёба/работа,,
урок,714,lesson,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,уроков,Gen.Plur,"Завтра суббота, уроков не будет.","Tomorrow is Saturday, there will be no classes.",_,учёба/работа,,
шкаф,715,armoire,N.Masc.Inan,A1,"Golosa, MiP, МН",1,шкафу,Loc.Sing,В этом шкафу много места.,There is a lot of space in this armoire.,_,жильё,,
шкаф,716,armoire,N.Masc.Inan,A1,"Golosa, MiP, МН",2,шкафа,Gen.Sing,"Я переехала недавно, у меня в квартире ещё нет шкафа.","I moved recently, I don't have an armoire yet.",_,жильё,,
шкаф,717,armoire,N.Masc.Inan,A1,"Golosa, MiP, МН",3,шкаф,Nom.Sing,Этот шкаф очень большой и удобный.,This armoire is very big and roomy.,_,жильё,,
рыба,718,fish,N.Fem.Anim,A1,"Golosa, MiP, LM, МН, Кс",1,рыбу,Acc.Sing,Я не люблю рыбу.,I don't like fish.,_,"еда, животные/растения",,
рыба,719,fish,N.Fem.Anim,A1,"Golosa, MiP, LM, МН, Кс",2,рыба,Nom.Sing,"Рыба готова, приходи есть!","The fish is ready, come and eat!",_,"еда, животные/растения",,
рыба,720,fish,N.Fem.Anim,A1,"Golosa, MiP, LM, МН, Кс",3,рыб,Gen.Plur,Я не знаю названия этих рыб.,I don’t know what those fish are called.,_,"еда, животные/растения",,
ученик,721,school student,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,учеников,Gen.Plur,В моём классе много учеников.,There are a lot of students in my class.,_,"люди, учёба/работа",,
ученик,722,school student,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,ученик,Nom.Sing,Вася – ученик девятого класса.,Vasya is a ninth grade student.,_,"люди, учёба/работа",,
ученик,723,school student,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,ученики,Nom.Plur,Ученики хорошо написали контрольную.,The students did a good job on the test.,_,"люди, учёба/работа",Too complex,
серьёзный,724,serious,A,A1,МН,1,серьёзный,Nom.Masc.Sing,Почему ты такой серьёзный? Что случилось?,Why are you so serious? What happened?,_,"описание, внутренний мир",,
серьёзный,725,serious,A,A1,МН,2,серьёзные,Nom.Plur, У всех в комнате были серьёзные лица.,Everyone in the room had a serious face.,_,"описание, внутренний мир",,
серьёзный,726,serious,A,A1,МН,3,серьёзных,Gen.Plur,Сейчас у меня нет серьёзных проблем с учёбой.,I don't have any serious problems with my studies now.,_,"описание, внутренний мир",,
собака,727,dog,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",1,собака,Nom.Sing,Собака съела кость.,The dog ate a bone.,_,животные/растения,Too complex,
собака,728,dog,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",2,собаки,Nom.Plur,"Слышишь, собаки лают.","Listen, the dogs are barking.",_,животные/растения,Too complex,
собака,729,dog,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",3,собак,Gen.Plur,У Насти дома нет кошек и собак из-за аллергии.,Nastya doesn't have cats or dogs at home due to allergies.,_,животные/растения,,
детский,730,children’s,A,A1,"Golosa, MiP, LM, МН",1,детский,Inan.Acc.Masc.Sing,Петя ходит в детский сад.,Petya goes to daycare.,_,"описание, время, люди",,
детский,731,children’s,A,A1,"Golosa, MiP, LM, МН",2,детская,Nom.Fem.Sing,У нас есть детская одежда.,We have baby clothes.,_,"описание, время, люди","Not natural, try with одежда",
детский,732,children’s,A,A1,"Golosa, MiP, LM, МН",3,детском,Loc.Masc.Sing,Мой брат сегодня до вечера в детском саду.,Today my brother will be in daycare until evening.,_,"описание, время, люди",,
добрый,733,kind,A,A1,"Golosa, MiP, LM, МН",1,добрый,Nom.Masc.Sing,Добрый день!,Good day!,_,описание,,
добрый,734,kind,A,A1,"Golosa, MiP, LM, МН",2,добрые,Nom.Plur,У Маши очень добрые родители.,Masha's parents are very kind.,_,описание,,
добрый,735,kind,A,A1,"Golosa, MiP, LM, МН",3,доброго,Gen.Neut.Sing,"Всего доброго, до встречи!","All the best, see you soon!",_,описание,,
самолет,736,airplane,N.Masc.Inan,A1,"LM, МН",1,самолёт,Nom.Sing,"Смотри, самолёт летит!","Look, the plane is flying!",_,"путешествие, транспорт",,
самолет,737,airplane,N.Masc.Inan,A1,"LM, МН",2,самолёты,Nom.Plur,Самолёты летят низко.,The airplanes are flying low.,_,"путешествие, транспорт",Too complex,
самолет,738,airplane,N.Masc.Inan,A1,"LM, МН",3,самолётов,Gen.Plur,Сегодня в небе много самолётов.,There are a lot of planes in the sky today.,_,"путешествие, транспорт",Too complex and unnatural,
подарок,739,present,N.Masc.Inan,A1,"LM, МН",1,подарок,Acc.Sing,Я купил Маше подарок.,I bought Masha a present.,_,"люди, общение, магазин",,
подарок,740,present,N.Masc.Inan,A1,"LM, МН",2,подарки,Acc.Plur,Миша любит дарить дорогие подарки.,Misha loves to give expensive presents.,_,"люди, общение, магазин",,
подарок,741,present,N.Masc.Inan,A1,"LM, МН",3,подарков,Gen.Plur,Нельзя приходить на день рождения без подарков.,You can’t go to a birthday party without presents.,_,"люди, общение, магазин",,
библиотека,742,library,N.Fem.Inan,A1,"Golosa, MiP, МН, Поехали",1,библиотеки,Gen.Sing,Вчера я видел Машу у библиотеки.,Yesterday I saw Masha outside the library.,_,учёба/работа,,
библиотека,743,library,N.Fem.Inan,A1,"Golosa, MiP, МН, Поехали",2,библиотеке,Loc.Sing,Я буду готовиться к экзаменам в библиотеке.,I'll be studying for my exams in the library.,_,учёба/работа,,
библиотека,744,library,N.Fem.Inan,A1,"Golosa, MiP, МН, Поехали",3,библиотеку,Acc.Sing,"Мы идём заниматься в библиотеку, пойдёшь с нами?","We're going to the library to study, are you going to come with us?",_,учёба/работа,,
художник,745,artist,N.Masc.Anim,A1,"Golosa, MiP, МН",1,художник,Nom.Sing,Казимир Малевич – русский художник двадцатого века.,Kazimir Malevich is a twentieth Century Russian artist.,_,"люди, учёба/работа",,
художник,746,artist,N.Masc.Anim,A1,"Golosa, MiP, МН",2,художника,Gen.Sing,Мне очень нравятся картины этого художника.,I really love this artist’s paintings.,_,"люди, учёба/работа",,
художник,747,artist,N.Masc.Anim,A1,"Golosa, MiP, МН",3,художники,Nom.Plur,Молодые художники провели свою первую выставку.,The young artists organized their first exhibition.,_,"люди, учёба/работа",,
позвонить,748,call,V,A1,"LM, МН",1,позвонил,Perf.Masc.Sing.Past,"Я позвонил Алёне, чтобы спросить задание на завтра.",I call Alyona to ask about the homework for tomorrow.,_,"люди, общение",,
позвонить,749,call,V,A1,"LM, МН",2,позвонить,Perf.Inf,Не забудь позвонить мне завтра.,Don't forget to call me tomorrow.,_,"люди, общение",,
позвонить,750,call,V,A1,"LM, МН",3,позвонила,Perf.Fem.Sing.Past,Почему ты не позвонила мне вчера?,Why didn't you call me yesterday?,_,"люди, общение",,
дождь,751,rain,N.Masc.Inan,A1,"MiP, МН",1,дождь,Nom.Sing,Сегодня весь день идёт дождь.,It's been raining all day long today.,_,погода,,
дождь,752,rain,N.Masc.Inan,A1,"MiP, МН",2,дождя,Gen.Sing,Завтра не будет дождя.,It won't rain tomorrow.,_,погода,,
дождь,753,rain,N.Masc.Inan,A1,"MiP, МН",3,дождём,Ins.Sing,Я промок под дождём и заболел.,I got drenched in the rain and got sick.,_,погода,,
здание,754,building,N.Neut.Inan,A1,"MiP, МН",1,здание,Nom.Sing,Это здание построено в девятнадцатом веке.,This building was built in the 19th Century.,_,"жильё, учёба/работа",,
здание,755,building,N.Neut.Inan,A1,"MiP, МН",2,здания,Gen.Sing,У здания суда было много журналистов.,There were a lot of journalists outside the courthouse.,_,"жильё, учёба/работа",,
здание,756,building,N.Neut.Inan,A1,"MiP, МН",3,здании,Loc.Sing,В здании очень просторно.,It's very spacious in this building.,_,"жильё, учёба/работа",,
пойти,757,go,V,A1,"Golosa, MiP, LM, МН",1,пошёл,Perf.Masc.Sing.Past,Вечером я пошёл в магазин и встретил Лену.,In the evening I went shopping and met Lena.,_,"путешествие, учёба/работа, свободное время",,
пойти,758,go,V,A1,"Golosa, MiP, LM, МН",2,пошли,Perf.Plur.Past,Мы с Сашей пошли в кафе.,Sasha and I went to the café.,_,"путешествие, учёба/работа, свободное время",,
пойти,759,go,V,A1,"Golosa, MiP, LM, МН",3,пошла,Perf.Fem.Sing.Past,Я пошла в школу в семь лет.,I started school at age seven.,_,"путешествие, учёба/работа, свободное время",,
карта,760,card,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,карту,Acc.Sing,Я перевёл тебе деньги на карту.,I've transferred money to your card.,_,"свободное время, учёба/работа, путешествие, магазин",,
карта,761,card,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,карты,Acc.Plur,Я хочу поиграть в карты.,I want to play a card game.,_,"свободное время, учёба/работа, путешествие, магазин",,
карта,762,card,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,карта,Nom.Sing,Мне нужна карта города.,I need a map of the city.,_,"свободное время, учёба/работа, путешествие, магазин",,
рассказ,763,story,N.Masc.Inan,A1,"MiP, МН",1,рассказ,Nom.Sing,Этот рассказ неинтересный.,This story is boring.,_,"свободное время, учёба/работа",,
рассказ,764,story,N.Masc.Inan,A1,"MiP, МН",2,рассказа,Gen.Sing,Мне понравился герой рассказа.,I liked the hero of the story.,_,"свободное время, учёба/работа",,
рассказ,765,story,N.Masc.Inan,A1,"MiP, МН",3,рассказе,Loc.Sing,В рассказе об этом не говорится.,The story does not say anything about that.,_,"свободное время, учёба/работа",,
философия,766,philosophy,N.Fem.Inan,A1,"Golosa, MiP, МН",1,философии,Gen.Sing,Иван Петрович – доктор философии.,Ivan Petrovich is a Doctor of Philosophy.,_,учёба/работа,,
философия,767,philosophy,N.Fem.Inan,A1,"Golosa, MiP, МН",2,философия,Nom.Sing,Философия – мой любимый предмет.,Philosophy is my favorite subject.,_,учёба/работа,,
философия,768,philosophy,N.Fem.Inan,A1,"Golosa, MiP, МН",3,философию,Acc.Sing,Я буду изучать философию в университете.,I will be studying philosophy at the university.,_,учёба/работа,,
новость,769,news,N.Fem.Inan,A1,"LM, МН",1,новостей,Gen.Plur,Большинство новостей я узнаю из интернета.,I get most of my news from the Internet.,_,"политика, общение",,
